"SampleID: "" ""Batch Name: plate_P1 Batch Description: <NONE>",,,,,,,,
EventNo,RID,DBL,DD,RP1,CL1,CL2,Aux1,TIME
0,0,0,24977,13,117,0,0,0
1,0,0,25917,0,281,10,0,0
2,0,0,26555,0,394,17,0,0
3,0,0,24832,0,68,0,0,0
4,0,0,28166,0,419,29,0,0
5,0,0,27034,0,404,29,0,0
6,0,0,26937,0,407,27,0,0
7,19,1,12637,24,233,227,0,0
8,19,1,14895,10,235,215,0,0
9,20,1,10736,10,396,212,0,0
10,36,1,13185,50,719,647,0,0
11,21,1,10652,43,694,204,0,0
12,51,1,12709,53,134,1849,0,0
13,25,1,10248,16,122,350,0,0
14,14,1,17604,11,410,120,0,0
15,36,1,9175,41,646,587,0,0
16,36,1,15118,46,745,647,0,0
17,12,1,13885,36,124,108,0,0
18,27,1,14078,2,382,350,0,0
19,29,1,11209,8,1346,371,1,0
20,14,1,9672,10,387,113,0,0
21,0,1,12968,80,23,4,0,0
22,14,1,13086,525,410,119,0,0
23,54,1,10772,10,717,1893,0,0
24,21,1,12401,47,711,205,1,79
25,61,1,9940,6,123,3020,0,79
26,0,0,24679,137,4485,7188,0,79
27,12,1,10807,52,128,119,1,79
28,22,1,13550,32,1308,210,0,79
29,0,1,10026,12,853,2141,0,79
30,55,1,12775,37,1299,1986,1,79
31,55,1,14853,32,1295,1861,0,79
32,52,1,14774,8,219,1778,0,79
33,22,1,12004,23,1221,189,0,79
34,63,1,10549,3,393,3111,3,79
35,78,1,8716,55,4028,5527,0,79
36,25,1,10522,18,131,373,0,79
37,13,1,13555,21,226,120,0,79
38,28,1,10347,11,636,335,0,79
39,33,1,13118,19,131,651,0,79
40,28,1,7927,18,690,362,0,79
41,20,1,11473,1,401,216,0,79
42,33,1,12670,69,130,619,0,79
43,63,1,13395,3,381,3110,0,79
44,0,0,6981,8,113,107,0,79
45,30,1,8032,24,2199,353,0,79
46,28,1,13222,14,675,362,0,79
47,21,1,11598,8545,748,215,0,79
48,27,1,11580,7,397,356,0,141
49,52,1,8214,12816,208,1873,0,141
50,20,1,9827,6,399,223,0,141
51,52,1,9999,11,206,1768,0,141
52,52,1,12297,8,217,1924,0,141
53,20,1,9399,6,405,228,1,141
54,56,1,8633,7,2253,1779,0,141
55,61,1,10847,4,134,3259,0,141
56,26,1,14018,9,221,362,0,141
57,27,1,14715,7,429,365,0,141
58,25,1,8999,8,118,346,0,141
59,27,1,10495,11,391,367,1,141
60,21,1,12074,53,742,211,0,141
61,27,1,10467,1,431,383,0,141
62,36,1,13532,34,731,612,0,141
63,13,1,7630,14,206,113,0,141
64,20,1,15003,3,406,227,0,141
65,33,1,10687,15364,131,655,0,141
66,13,1,10584,32,219,113,0,141
67,19,1,9607,15,235,222,0,141
68,27,1,9501,3,416,371,0,141
69,34,1,14941,3,246,663,0,141
70,13,1,13310,19,229,119,1,141
71,20,1,9815,8,401,226,0,141
72,15,1,15509,15,690,115,0,204
73,13,1,11472,31,232,123,0,204
74,77,1,11130,7,2284,5617,0,204
75,77,1,8553,14,2485,6117,0,204
76,43,1,9113,0,220,1033,0,204
77,19,1,13959,2,228,204,0,204
78,12,1,10399,17,113,105,0,204
79,56,1,11788,17,2202,1758,0,204
80,21,1,7701,6760,755,212,0,204
81,15,1,10120,13,735,116,0,204
82,54,1,11304,17,700,1821,0,204
83,77,1,11451,15,2365,5793,0,204
84,12,1,8223,3405,119,114,2,204
85,28,1,11348,20,707,381,0,204
86,21,1,13654,8169,670,200,0,204
87,43,1,12290,5,212,1016,1,204
88,27,1,17208,8,418,372,0,204
89,30,1,9390,13,2144,346,0,204
90,63,1,14550,167,411,3351,0,204
91,56,1,12998,13,2318,1833,0,204
92,36,1,15082,56,698,622,0,204
93,19,1,10830,17,215,213,1,204
94,12,1,10295,17,116,105,0,204
95,52,1,10014,13,224,1915,0,204
96,28,1,13586,8383,704,368,0,282
97,43,1,12505,5,236,1114,0,282
98,21,1,9353,47,727,213,1,282
99,26,1,10121,10,216,361,0,282
100,28,1,11723,19,693,362,0,282
101,14,1,10723,11,383,112,0,282
102,28,1,13534,16,692,361,0,282
103,29,1,10787,15,1232,350,0,282
104,19,1,9802,6,222,215,0,282
105,18,1,12431,7961,131,227,0,282
106,0,1,10595,12,3162,2426,0,282
107,55,1,19557,41,1349,2036,0,282
108,22,1,13560,23,1302,210,0,282
109,63,1,9513,1,412,3133,0,282
110,52,1,12735,11606,224,1948,0,282
111,29,1,11789,14,1290,345,0,282
112,12,1,13172,33,137,125,0,282
113,30,1,11863,13,2076,334,0,282
114,54,1,11230,8,692,1832,0,282
115,43,1,12356,5,240,1070,0,282
116,43,1,12646,16072,232,1112,0,282
117,33,1,8203,48,124,643,0,282
118,21,1,15377,42,730,206,0,282
119,52,1,12825,8,209,1800,0,282
120,78,1,8809,65,3982,5553,0,360
121,14,1,13217,14,384,114,0,360
122,29,1,18517,5,1273,361,0,360
123,29,1,11955,14,1321,352,2,360
124,54,1,11411,22,684,1811,0,360
125,77,1,17576,10,2291,5507,0,360
126,33,1,10584,38,142,662,0,360
127,20,1,11609,2011,402,224,0,360
128,27,1,16004,9,418,361,0,360
129,12,1,8787,54,117,116,1,360
130,35,1,13418,3982,401,630,0,360
131,35,1,9570,4,414,660,0,360
132,33,1,12422,2011,132,679,0,360
133,0,1,13997,10,1775,473,1,360
134,0,0,26622,16,706,629,0,360
135,54,1,15716,10,704,1880,2,360
136,36,1,17261,67,666,616,1,360
137,78,1,13412,49,3795,5176,0,360
138,28,1,10278,8,651,344,0,360
139,36,1,10544,44,655,579,0,360
140,36,1,12560,43,726,655,0,360
141,12,1,10341,24,119,112,0,360
142,13,1,12559,9591,216,113,0,360
143,61,1,12667,11,122,3058,0,360
144,25,1,12535,127,135,382,0,422
145,36,1,12583,7824,640,573,0,422
146,56,1,8700,7,2364,1864,0,422
147,55,1,10893,40,1248,1907,0,422
148,35,1,9357,3,393,639,0,422
149,35,1,13273,0,391,630,0,422
150,26,1,10697,15,217,372,0,422
151,55,1,13377,37,1319,1853,0,422
152,33,1,13319,46,137,638,0,422
153,56,1,10617,10,2334,1799,0,422
154,78,1,13892,16,4092,5519,0,422
155,63,1,12369,6,411,3117,0,422
156,28,1,14011,12,690,372,0,422
157,15,1,8623,6,677,109,0,422
158,34,1,8613,6,228,648,0,422
159,34,1,11869,7,220,631,0,422
160,28,1,12713,10,682,355,0,422
161,36,1,10139,26,710,645,0,422
162,61,1,10082,10,127,3157,0,422
163,15,1,10967,4,722,112,0,422
164,22,1,14493,45,1337,206,0,422
165,51,1,13691,70,134,1860,0,422
166,63,1,10872,12,369,3068,0,422
167,13,1,13956,35,231,120,1,422
168,0,1,14475,19,1084,171,0,485
169,22,1,11358,35,1253,199,1,485
170,25,1,14122,19613,117,336,0,485
171,25,1,10490,15,131,372,0,485
172,25,1,8883,6,127,371,0,485
173,28,1,7844,12,646,352,0,485
174,27,1,9563,6,418,371,0,485
175,54,1,16882,16,775,1856,0,485
176,12,1,10396,10,132,120,0,485
177,55,1,11674,38,1285,1917,0,485
178,15,1,11012,8,665,109,0,485
179,56,1,8670,2,2321,1784,0,485
180,29,1,11771,21,1237,352,0,485
181,34,1,10120,5,223,624,0,485
182,33,1,11829,30,131,666,1,485
183,33,1,13943,40,136,702,0,485
184,30,1,12886,56,2144,343,0,485
185,21,1,13763,8677,705,206,0,485
186,33,1,18162,30,132,623,0,485
187,63,1,10677,4,384,3089,0,485
188,18,1,14374,14922,127,221,0,485
189,55,1,14119,28,1191,1786,0,485
190,43,1,11899,13,229,1106,0,485
191,78,1,10203,58,4723,6617,2,485
192,63,1,11388,8,352,2962,0,532
193,33,1,10680,27,132,653,0,532
194,0,0,26399,12273,714,393,0,532
195,43,1,13470,18256,175,892,0,532
196,0,0,26474,120,1282,388,0,532
197,14,1,10953,14,422,128,1,532
198,28,1,13781,8749,698,377,0,532
199,18,1,13075,6,114,218,0,532
200,0,0,7320,0,14,0,0,532
201,12,1,11333,26,125,110,1,532
202,35,1,13804,7,370,609,1,532
203,0,0,6311,3,8,0,0,532
204,30,1,8834,10,2126,339,0,532
205,34,1,16030,6,225,593,0,532
206,54,1,10031,2,745,1868,0,532
207,25,1,15035,6,140,391,0,532
208,35,1,12827,10,414,699,0,532
209,63,1,15667,10,409,3146,0,532
210,55,1,13678,38,1261,1935,0,532
211,63,1,12614,0,390,3245,0,532
212,19,1,11728,8,212,206,0,532
213,28,1,13021,8,667,358,0,532
214,38,1,8909,2,2292,634,0,532
215,36,1,8878,35,669,629,0,532
216,18,1,15483,3,131,238,0,579
217,52,1,14113,14,230,1923,1,579
218,26,1,12569,11,218,355,0,579
219,78,1,8873,73,4112,5335,0,579
220,29,1,11057,7,1296,372,0,579
221,0,0,25902,24093,1216,426,2,579
222,36,1,15441,79,660,591,0,579
223,63,1,17099,13007,410,3274,0,579
224,52,1,8701,8,221,1868,0,579
225,43,1,8616,2,223,1118,0,579
226,20,1,10584,7,409,217,0,579
227,15,1,10661,3,763,114,0,579
228,55,1,9586,50,1225,1828,0,579
229,38,1,8011,5,2328,638,0,579
230,12,1,10085,18,122,107,0,579
231,28,1,13597,12,648,348,0,579
232,43,1,11127,5,220,1047,0,579
233,36,1,10048,26,658,603,0,579
234,34,1,11578,24176,225,598,0,579
235,29,1,12206,8,1303,371,0,579
236,15,1,11468,3,700,115,0,579
237,61,1,12019,15,130,2917,0,579
238,78,1,8798,54,3870,5242,0,579
239,34,1,10971,6,206,598,0,579
240,20,1,14182,5,392,219,0,641
241,18,1,9942,5,124,230,0,641
242,27,1,11117,4,398,363,2,641
243,29,1,11666,13,1335,373,1,641
244,21,1,12226,71,680,206,0,641
245,19,1,14448,15,220,214,0,641
246,27,1,11112,8,383,348,0,641
247,36,1,11901,35,650,591,0,641
248,20,1,11911,7,433,217,0,641
249,13,1,12000,25,230,118,0,641
250,21,1,13622,54,691,209,0,641
251,25,1,11339,18,138,374,0,641
252,20,1,16693,6,435,237,0,641
253,36,1,11808,58,715,642,0,641
254,63,1,14207,10,391,3189,0,641
255,52,1,8706,19,213,1810,0,641
256,55,1,12753,44,1233,1831,0,641
257,61,1,14525,12,135,3286,0,641
258,61,1,14629,13,125,3230,0,641
259,54,1,13402,14,719,1937,0,641
260,61,1,10149,7063,123,3135,0,641
261,54,1,13777,10,706,1802,0,641
262,43,1,9065,14,229,1102,0,641
263,43,1,10186,6,235,1099,0,641
264,13,1,12593,12,230,122,0,672
265,51,1,14979,65,122,1665,0,672
266,43,1,13412,9,234,1074,0,672
267,34,1,10116,10,222,650,0,672
268,61,1,12639,11,117,2985,0,672
269,30,1,10118,19,2238,351,0,672
270,0,1,15023,7,3038,2422,0,672
271,35,1,7807,8,409,654,3,672
272,21,1,13167,48,724,205,0,672
273,12,1,12139,14,132,118,0,672
274,54,1,11238,9,705,1776,0,672
275,15,1,11368,10,688,113,0,672
276,13,1,12606,22,228,125,0,672
277,54,1,8283,3,727,1850,0,672
278,0,0,25946,33,669,623,0,672
279,54,1,10849,19,651,1752,1,672
280,35,1,14576,5,401,667,0,672
281,34,1,11283,6,206,595,0,672
282,35,1,12595,11,407,661,0,672
283,20,1,16267,3,420,229,0,672
284,56,1,8123,17936,2181,1722,0,672
285,51,1,8834,4783,123,1733,1,672
286,20,1,11878,9472,365,205,0,672
287,54,1,15554,12,750,1877,0,672
288,56,1,8340,7,2236,1800,0,735
289,55,1,11448,33,1216,1857,0,735
290,34,1,11076,2,223,627,0,735
291,77,1,11294,12,2358,5880,0,735
292,78,1,11714,63,3972,5281,0,735
293,55,1,9796,52,1353,1892,0,735
294,13,1,13990,27,219,118,0,735
295,30,1,10938,6726,2287,359,0,735
296,22,1,15022,11971,1391,215,0,735
297,55,1,10369,46,1210,1822,0,735
298,18,1,13076,8,124,216,0,735
299,29,1,15671,12985,1260,363,0,735
300,33,1,13725,53,135,659,0,735
301,26,1,11654,12,218,341,0,735
302,27,1,10304,6,430,373,0,735
303,77,1,10678,7,2262,5559,0,735
304,28,1,10751,10,643,359,0,735
305,55,1,11444,8601,1308,1964,0,735
306,0,0,21190,55,704,638,0,735
307,52,1,17522,15373,218,1788,0,735
308,13,1,10816,20,207,109,0,735
309,22,1,10736,6078,1222,190,0,735
310,14,1,16546,7,424,120,0,735
311,34,1,13355,8,229,656,0,735
312,33,1,11069,16120,129,637,0,797
313,15,1,10097,4,661,104,0,797
314,13,1,12025,18,226,122,0,797
315,77,1,14648,8,2456,5874,0,797
316,27,1,9450,9,373,350,0,797
317,0,0,6700,7,12,0,0,797
318,78,1,13282,51,3589,5037,0,797
319,77,1,12795,10,2442,5799,0,797
320,28,1,12491,14,668,361,0,797
321,14,1,12644,7672,405,114,0,797
322,34,1,12708,4,231,612,0,797
323,28,1,11013,17,668,361,0,797
324,78,1,10386,10188,3907,5553,0,797
325,20,1,9776,2,410,219,0,797
326,38,1,9428,13753,2171,600,0,797
327,26,1,8189,4,214,362,0,797
328,0,0,27856,21,589,512,0,797
329,25,1,10178,7,121,365,0,797
330,51,1,10955,26,133,1849,0,797
331,33,1,12640,20,135,669,0,797
332,33,1,10080,44,127,641,0,797
333,14,1,10056,5,364,110,0,797
334,55,1,12208,37,1233,1827,0,797
335,21,1,10338,41,723,217,0,797
336,52,1,11056,15,219,1867,0,860
337,38,1,13478,6,2100,584,0,860
338,21,1,13182,72,701,208,0,860
339,63,1,12578,3,386,3089,0,860
340,35,1,8188,7543,412,688,0,860
341,52,1,12359,7,215,1817,0,860
342,63,1,11072,6,365,3068,0,860
343,78,1,9763,66,3817,5277,0,860
344,15,1,13853,7,705,117,0,860
345,15,1,12297,12,635,106,0,860
