"SampleID: "" ""Batch Name: plate_P1 Batch Description: <NONE>",,,,,,,,
EventNo,RID,DBL,DD,RP1,CL1,CL2,Aux1,TIME
346,27,1,10892,5,410,386,0,860
347,33,1,12935,44,135,651,3,860
348,27,1,10454,14366,402,373,0,860
349,43,1,11963,12,246,1134,0,860
350,55,1,10347,37,1295,1884,0,860
351,43,1,11166,8,239,1058,0,860
352,51,1,10207,76,123,1747,0,860
353,0,0,27297,32739,2649,2426,0,860
354,0,0,25538,9,3911,10141,0,860
355,55,1,14451,39,1277,1881,0,860
356,25,1,9939,12,118,330,0,860
357,35,1,10836,2,353,614,0,860
358,27,1,9772,4396,376,348,0,860
359,14,1,8492,5,398,119,0,860
360,21,1,8292,76,704,217,0,922
361,0,0,6815,19,127,642,0,922
362,15,1,14266,9,712,115,0,922
363,56,1,8210,17978,2145,1763,0,922
364,0,0,26068,41,2115,921,0,922
365,43,1,10311,1,204,993,0,922
366,13,1,10391,17,221,114,0,922
367,0,0,6872,6,2237,615,1,922
368,30,1,9311,5251,2173,350,0,922
369,19,1,12062,19,209,212,0,922
370,38,1,9835,7,2321,639,0,922
371,52,1,11717,3,224,1938,0,922
372,15,1,11983,3,739,114,0,922
373,43,1,12308,6,221,1026,0,922
374,29,1,10462,8,1242,360,1,922
375,25,1,8596,13,122,364,0,922
376,15,1,14625,17843,755,119,0,922
377,14,1,14222,3,412,113,2,922
378,13,1,8833,7,211,116,0,922
379,38,1,8959,5,2346,640,0,922
380,34,1,13420,22457,227,633,0,922
381,34,1,11515,1,221,622,0,922
382,27,1,10622,7,394,359,0,922
383,22,1,11829,30,1306,219,0,922
384,55,1,14809,7858,1320,1941,0,969
385,43,1,11647,9,243,1095,0,969
386,52,1,13744,13,229,1827,0,969
387,54,1,10242,6,711,1855,0,969
388,63,1,11032,5,421,3231,0,969
389,19,1,10458,13792,228,216,0,969
390,55,1,10801,26,1341,1968,0,969
391,19,1,10583,9,220,216,0,969
392,56,1,14568,17578,2282,1799,0,969
393,51,1,12011,7950,121,1717,0,969
394,27,1,11693,805,439,388,0,969
395,0,1,8319,13,16,0,1,969
396,22,1,8063,12019,1324,203,2,969
397,61,1,12076,12,118,3083,0,969
398,13,1,11361,27,225,118,2,969
399,63,1,8643,7,382,3065,0,969
400,52,1,12019,19,205,1773,0,969
401,78,1,9660,70,3922,5498,0,969
402,54,1,10288,18,713,1828,0,969
403,21,1,16958,68,694,189,0,969
404,51,1,11849,4075,131,1803,0,969
405,43,1,11740,6,234,1113,0,969
406,30,1,9519,26,2223,353,0,969
407,52,1,8703,5,206,1797,0,969
408,63,1,11402,8,402,2993,0,1032
409,12,1,10302,4438,129,122,0,1032
410,33,1,10564,13,130,674,0,1032
411,43,1,8849,3,227,1059,0,1032
412,13,1,9230,36,215,111,0,1032
413,78,1,14319,64,3800,5371,0,1032
414,63,1,12663,10,400,3169,0,1032
415,26,1,11534,9,218,365,0,1032
416,36,1,13170,41,638,593,0,1032
417,18,1,10248,12,116,217,0,1032
418,12,1,10143,24,119,114,0,1032
419,25,1,14069,23941,136,414,0,1032
420,26,1,11264,11,217,355,0,1032
421,34,1,8780,3,231,623,1,1032
422,61,1,12471,9,126,3036,0,1032
423,43,1,9626,11,218,1039,0,1032
424,29,1,13775,15,1308,358,0,1032
425,15,1,8898,2,754,117,0,1032
426,56,1,13122,1,2362,1823,0,1032
427,0,0,7374,39,1338,2010,0,1032
428,20,1,10789,8,417,225,0,1032
429,34,1,15280,8,227,613,0,1032
430,43,1,7998,8,213,1058,0,1032
431,13,1,15146,23,220,113,0,1032
432,0,1,10880,9,491,146,0,1079
433,61,1,13194,7,118,2901,0,1079
434,25,1,10753,13,122,373,0,1079
435,15,1,15346,7,725,115,0,1079
436,26,1,10934,8,214,378,0,1079
437,33,1,16242,25,139,684,0,1079
438,29,1,8870,7,1278,353,0,1079
439,0,0,27057,63,770,2469,0,1079
440,20,1,14398,17,398,221,0,1079
441,35,1,10398,9,404,646,0,1079
442,78,1,11215,59,3826,5221,0,1079
443,77,1,11086,6746,2187,5353,0,1079
444,15,1,11604,6,744,118,0,1079
445,29,1,12278,8,1179,340,0,1079
446,54,1,9640,13,678,1784,0,1079
447,19,1,12640,24,227,218,0,1079
448,33,1,10176,23,130,664,0,1079
449,33,1,17949,34,141,679,0,1079
450,20,1,9819,6,402,219,0,1079
451,12,1,10832,18,129,119,0,1079
452,20,1,10669,8,367,199,0,1079
453,27,1,10375,7,421,392,0,1079
454,54,1,14331,12,716,1826,0,1079
455,15,1,14738,18269,690,109,0,1079
456,56,1,11240,2,2336,1859,0,1141
457,20,1,8781,9,383,211,0,1141
458,28,1,8855,23,679,372,1,1141
459,13,1,10618,9,230,120,0,1141
460,21,1,9879,51,720,212,0,1141
461,0,0,24036,15,4390,10657,0,1141
462,54,1,12022,9,684,1831,0,1141
463,0,0,27478,35,7047,17696,0,1141
464,19,1,13876,13,229,220,0,1141
465,43,1,8438,0,215,1056,0,1141
466,34,1,8342,0,222,606,0,1141
467,22,1,12287,14,1353,217,1,1141
468,13,1,13570,23,230,125,0,1141
469,29,1,12390,6,1321,367,0,1141
470,38,1,10008,7,2286,607,0,1141
471,26,1,12327,5,225,375,0,1141
472,30,1,9790,19,2267,347,0,1141
473,14,1,11177,4662,416,119,0,1141
474,28,1,11398,22,697,374,0,1141
475,26,1,18960,5,248,378,0,1141
476,51,1,13905,70,135,1909,0,1141
477,21,1,8032,51,715,208,0,1141
478,15,1,16424,9,751,121,0,1141
479,56,1,12243,10,2352,1890,0,1141
480,78,1,16411,59,4220,5632,0,1172
481,33,1,9782,31,136,701,0,1172
482,43,1,13710,10,245,1146,0,1172
483,14,1,10236,9931,395,116,0,1172
484,61,1,13372,9,129,3153,0,1172
485,19,1,10995,6,229,217,0,1172
486,22,1,13139,31,1257,198,0,1172
487,55,1,14778,43,1311,1976,0,1172
488,14,1,17030,7,421,124,0,1172
489,27,1,11837,6,422,365,0,1172
490,15,1,14057,11,713,113,0,1172
491,78,1,11253,51,3935,5303,0,1172
492,18,1,8731,15577,118,220,0,1172
493,12,1,9879,9,119,117,0,1172
494,38,1,10143,5,2348,634,0,1172
495,26,1,12232,12,212,359,0,1172
496,15,1,9713,2,720,117,0,1172
497,0,0,22113,11237,702,208,0,1172
498,51,1,10477,6628,131,1781,0,1172
499,63,1,12400,2,393,3154,0,1172
500,25,1,14988,21,136,381,0,1172
501,33,1,10137,29,124,649,0,1172
502,63,1,12451,12,375,3019,0,1172
503,35,1,10207,10321,415,665,0,1172
504,61,1,12889,12,130,3165,0,1219
505,27,1,9317,11,428,395,0,1219
506,61,1,12924,9,137,3251,0,1219
507,0,1,7754,36,1414,2169,2,1219
508,52,1,10691,1,209,1755,1,1219
509,12,1,12080,16,122,113,0,1219
510,13,1,11633,18,219,120,0,1219
511,77,1,12654,6,2280,5599,0,1219
512,15,1,11270,8,741,119,0,1219
513,22,1,8684,35,1216,193,1,1219
514,14,1,9971,9,401,114,0,1219
515,52,1,15697,6,209,1737,0,1219
516,15,1,9689,33,741,120,0,1219
517,27,1,9415,5,406,372,0,1219
518,0,0,20972,18,375,364,0,1219
519,0,0,20860,18,1263,204,0,1219
520,25,1,10716,6,120,343,0,1219
521,13,1,9215,27,230,121,0,1219
522,28,1,13429,11,635,345,0,1219
523,27,1,12556,4,394,348,0,1219
524,18,1,17781,13,123,224,0,1219
525,36,1,11619,26,696,642,0,1219
526,0,1,13801,16,821,184,0,1219
527,0,0,22027,11934,4216,5698,0,1219
528,43,1,11716,16,231,1051,0,1266
529,22,1,12519,25,1308,207,0,1266
530,52,1,14882,6,219,1830,0,1266
531,20,1,14592,9,398,208,0,1266
532,15,1,11017,16,691,108,0,1266
533,21,1,8469,31,709,212,1,1266
534,28,1,14120,11,690,363,0,1266
535,19,1,12671,17,229,207,0,1266
536,78,1,10277,25,4353,5649,0,1266
537,14,1,15382,5,427,120,1,1266
538,52,1,12083,7,208,1792,0,1266
539,28,1,15912,16,724,381,0,1266
540,78,1,9149,61,3886,5354,0,1266
541,38,1,10707,10,2133,591,0,1266
542,52,1,9933,3,217,1812,0,1266
543,14,1,11042,6,403,117,0,1266
544,51,1,19005,128,135,1689,0,1266
545,22,1,13859,29,1296,204,0,1266
546,28,1,10726,17,678,354,0,1266
547,13,1,12671,26,212,112,0,1266
548,36,1,13694,28,632,583,1,1266
549,19,1,13954,18,220,217,0,1266
550,54,1,13416,22,737,1901,0,1266
551,28,1,11757,20,632,348,0,1266
552,12,1,9994,23,131,124,0,1329
553,35,1,13295,11,386,643,0,1329
554,15,1,12424,4,682,108,0,1329
555,0,1,10468,41,1802,2446,0,1329
556,0,1,9375,11,858,136,0,1329
557,77,1,10576,12999,2267,5565,0,1329
558,63,1,10500,3,393,3349,0,1329
559,54,1,7741,65,665,1767,0,1329
560,0,0,25674,18,1230,203,0,1329
561,22,1,10861,28,1315,208,0,1329
562,15,1,11588,7,718,119,0,1329
563,20,1,12423,0,375,207,0,1329
564,63,1,15706,4,369,3008,0,1329
565,61,1,10566,5,128,3147,1,1329
566,36,1,12684,6788,640,583,0,1329
567,52,1,10111,6,208,1780,0,1329
568,21,1,11465,61,729,202,0,1329
569,0,0,7287,4,2160,5371,0,1329
570,0,0,6572,1,7,1,0,1329
571,77,1,10745,13,2226,5519,1,1329
572,61,1,10473,8,116,2996,0,1329
573,35,1,13664,820,392,650,0,1329
574,63,1,10778,1456,383,3042,0,1329
575,15,1,14158,5,755,125,0,1329
576,35,1,13481,13,395,656,0,1391
577,78,1,7794,46,4055,5797,0,1391
578,0,0,23643,46,1090,730,0,1391
579,0,0,6700,0,8,1,0,1391
580,38,1,9521,6,2264,623,1,1391
581,0,0,26019,89,742,213,0,1391
582,22,1,12358,31,1416,225,2,1391
583,18,1,10991,13,120,230,1,1391
584,15,1,9888,8,643,109,0,1391
585,12,1,10106,19,115,112,0,1391
586,54,1,11395,11,707,1821,0,1391
587,21,1,11703,45,721,210,0,1391
588,29,1,16275,17,1321,368,0,1391
589,77,1,10042,11,2464,5819,0,1391
590,52,1,9188,3,226,1906,0,1391
591,12,1,10633,8,129,119,0,1391
592,61,1,10805,16,118,3200,0,1391
593,15,1,14082,7,632,103,0,1391
594,21,1,11281,47,708,198,0,1391
595,14,1,15793,19,390,119,0,1391
596,14,1,11007,4880,403,123,0,1391
597,35,1,10707,8,391,646,0,1391
598,56,1,11055,4,2371,1762,1,1391
599,12,1,14368,22,134,117,0,1391
600,0,0,25955,22,488,327,0,1438
601,15,1,10567,8,761,123,0,1438
602,0,0,25623,63,242,1154,0,1438
603,30,1,8944,37,2317,370,0,1438
604,12,1,9033,13,122,111,0,1438
605,20,1,7830,6285,420,230,0,1438
606,25,1,15461,9,125,360,0,1438
607,15,1,18289,5,685,118,0,1438
608,26,1,12755,6,229,373,0,1438
609,22,1,12418,23,1237,201,2,1438
610,15,1,11499,4,701,114,0,1438
611,26,1,9496,4,225,361,0,1438
612,18,1,15123,10,122,215,0,1438
613,77,1,11379,9,2383,5823,0,1438
614,35,1,11336,16,382,634,0,1438
615,36,1,10486,28,679,612,0,1438
616,26,1,11804,8891,220,373,0,1438
617,15,1,10458,12,709,108,0,1438
618,36,1,10739,16,664,624,0,1438
619,26,1,9432,5,232,376,0,1438
620,18,1,11344,14426,122,219,0,1438
621,38,1,11401,8,2482,630,1,1438
622,15,1,12525,3,665,104,0,1438
623,43,1,9076,5,226,1111,0,1438
624,12,1,10788,19,123,122,0,1485
625,12,1,9182,16,123,113,1,1485
626,0,1,14633,43,168,152,0,1485
627,15,1,15427,4,699,114,1,1485
628,20,1,15325,6,408,205,0,1485
629,0,1,13005,89,176,2477,0,1485
630,26,1,10734,6,225,357,0,1485
631,34,1,9765,2,216,609,0,1485
632,34,1,10525,7,217,624,0,1485
633,20,1,10448,10,398,221,0,1485
634,18,1,11173,6,128,226,1,1485
635,0,0,23045,27,3932,631,0,1485
636,56,1,12353,12,2501,1984,0,1485
637,78,1,9281,57,3903,5512,0,1485
638,20,1,10886,4,391,215,2,1485
639,36,1,9855,37,653,582,0,1485
640,56,1,8782,3,2280,1850,0,1485
641,33,1,9821,39,130,690,0,1485
642,19,1,12172,17,236,223,0,1485
643,15,1,11711,4,681,111,0,1485
644,51,1,12045,45,130,1807,0,1485
645,43,1,10932,14775,225,1104,0,1485
646,18,1,18257,10,125,212,0,1485
647,35,1,8628,10,389,645,0,1485
648,29,1,12066,13,1306,353,0,1532
649,34,1,15596,8,238,613,1,1532
650,38,1,11234,5,2198,608,0,1532
651,61,1,11344,9,129,3137,0,1532
652,52,1,10011,13021,208,1781,0,1532
653,30,1,11046,39,2146,338,0,1532
654,56,1,9584,6,2243,1796,0,1532
655,21,1,11535,8870,714,208,0,1532
656,26,1,12605,8,224,364,0,1532
657,61,1,8928,8,116,2926,0,1532
658,63,1,7754,3,388,3115,0,1532
659,38,1,8503,6,2393,660,0,1532
660,30,1,11264,6236,2136,344,2,1532
661,22,1,11348,16,1311,211,0,1532
662,54,1,9575,15,675,1830,0,1532
663,36,1,14059,53,670,616,0,1532
664,55,1,15407,14265,1344,1913,0,1532
665,56,1,9210,9,2312,1767,0,1532
666,56,1,13305,1,2224,1809,1,1532
667,38,1,11048,9,2088,578,0,1532
668,0,0,22651,17921,6892,9677,0,1532
669,12,1,15377,11,132,120,0,1532
670,35,1,9633,8,399,658,0,1532
671,22,1,14823,40,1236,198,1,1532
672,0,0,7078,18,1171,192,0,1594
673,55,1,13312,33,1367,2008,0,1594
674,25,1,9722,16,132,373,1,1594
675,19,1,10059,12,239,225,0,1594
676,0,1,9297,4239,13,0,2,1594
677,30,1,10494,38,2196,355,0,1594
678,22,1,12927,26,1238,195,0,1594
679,0,1,15391,3,897,141,0,1594
680,22,1,11634,30,1348,221,0,1594
681,14,1,9708,7,426,122,0,1594
682,36,1,11069,40,742,623,0,1594
683,34,1,15250,6,239,684,0,1594
684,19,1,12645,16,226,220,0,1594
685,52,1,10429,6,215,1918,0,1594
686,0,1,7516,18,9,0,0,1594
687,63,1,14604,6,413,3253,0,1594
688,15,1,9889,5,719,116,0,1594
